traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
操,操,cāo,cao1,cao,1,tshawH,tsh-,-aw,qu,ʦʰaw³,*[tsʰ]ˤawʔ-s,(what is grasped:) principles,1134m,"31969,03",64,13,U+64CD
曹,曹,cáo,cao2,cao,2,dzaw,dz-,-aw,ping,ʣaw¹,*N-tsˤu,come together; pair,1053a,"21511,06",73,7,U+66F9
草,草,cǎo,cao3,cao,3,tshawX,tsh-,-aw,shang,ʦʰaw²,*[tsʰ]ˤuʔ,"grass, plants",1049b,"53203,04",140,6,U+8349
草,草,cǎo,cao3,cao,3,tshawX,tsh-,-aw,shang,ʦʰaw²,*[tsʰ]ˤuʔ,"rough, coarse",1049b,"53203,04",140,6,U+8349
册,册,cè,ce4,ce,4,tsrheak,tsrh-,-eak,ru,ʦʰɛk⁴,*[tsʰ](ˤ)rek,"tablet, records",0845a,"10099,08",13,3,U+518C
策,策,cè,ce4,ce,4,tsrheak,tsrh-,-eak,ru,ʦʰɛk⁴,*[tsʰ](ˤ)rek,"tablet, record",0868l,"52963,09",118,6,U+7B56
栅,栅,cè,ce4,ce,4,tsrheak,tsrh-,-eak,ru,ʦʰɛk⁴,*[tsʰ]ˤrek,hedge,0845g,"21187,01",75,5,U+6805
廁,厕,cè,ce4,ce,4,tsrhiH,tsrh-,-i,qu,ʦʰi³,*[tsʰ]rək-s,latrine,0906g,"20893,03",53,9,U+5EC1
畟,畟,cè,ce4,ce,4,tsrhik,tsrh-,-ik,ru,ʦʰik⁴,*Nə-[tsʰ]rək,sharp-cutting,0922a,"42537,01",102,5,U+755F
測,测,cè,ce4,ce,4,tsrhik,tsrh-,-ik,ru,ʦʰik⁴,*[tsʰ]rək,fathom (v.),0906f,"31674,01",85,9,U+6E2C
側,侧,cè,ce4,ce,4,tsrik,tsr-,-ik,ru,t͡ʂik⁴,*[ts]rək,"slanting, oblique; side",0906c,"10189,12",9,9,U+5074
參,参,cēn,cen1,cen,1,tsrhim,tsrh-,-im,ping,ʦʰim¹,*[tsʰr][u]m,參差 tsrhim.tsrhje uneven,0647a,"10387,23",28,9,U+53C3
層,层,céng,ceng2,ceng,2,dzong,dz-,-ong,ping,ʣoŋ¹,*N-s-tˤəŋ,"in two storeys, double",0884i,"20981,03",44,12,U+5C64
曾,曾,céng,ceng2,ceng,2,dzong,dz-,-ong,ping,ʣoŋ¹,*[dz]ˤəŋ,(adverb indicating past time),0884a,"21521,03",73,8,U+66FE
層,层,céng,ceng2,ceng,2,dzong,dz-,-ong,ping,ʣoŋ¹,*m-s-tˤəŋ,"additional floor, field",0884i,"20981,03",44,12,U+5C64
差,差,chā,cha1,cha,1,tsrhae,tsrh-,-ae,ping,ʦʰæ¹,*tsʰraj,distinction; to select,0005f,"10413,04",48,7,U+5DEE
臿,臿,chā,cha1,cha,1,tsrheap,tsrh-,-eap,ru,ʦʰɛp⁴,*[tsʰ]<r>op,pestle,0631a,"53038,02",134,3,U+81FF
插,插,chā,cha1,cha,1,tsrheap,tsrh-,-eap,ru,ʦʰɛp⁴,*mə-[tsʰ]<r>op,insert,0631b,"31918,05",64,9,U+63D2
扱,扱,chā,cha1,cha,1,tsrheap,tsrh-,-eap,ru,ʦʰɛp⁴,*s-qʰr[ə]p,"gather, collect",1254b,"31831,08",64,4,U+6271
秅,秅,chá,cha2,cha,2,drae,dr-,-ae,ping,ɖæ¹,*[d]ˤra,a certain number of sheaves of grain,0780f,"42591,09",115,3,U+79C5
