traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
盝,盝,lù,lu1,lu,1,luwk,l-,-uwk,ru,luwk⁴,*[r]ˤok,draw off water,1208e,"42565,13",108,8,U+76DD
琭,琭,lù,lu1,lu,1,luwk,l-,-uwk,ru,luwk⁴,*[r]ˤok,precious stone,1208f,"21124,09",96,8,U+742D
睩,睩,lù,lu1,lu,1,luwk,l-,-uwk,ru,luwk⁴,*[r]ˤok,look carefully,1208g,"42500,03",109,8,U+7769
祿,禄,lù,lu1,lu,1,luwk,l-,-uwk,ru,luwk⁴,*[r]ˤok,blessing,1208h,"42402,081",113,8,U+797F
㯟,㯟,lù,lu1,lu,1,luwk,l-,-uwk,ru,luwk⁴,*[r]ˤok,wooded foot of mountain,1208i,"21288,21",75,12,U+3BDF
鹿,鹿,lù,lu1,lu,1,luwk,l-,-uwk,ru,luwk⁴,*mə-rˤok,deer,1209a,"74727,01",198,0,U+9E7F
彔,彔,lù,lu1,lu,1,luwk,l-,-uwk,ru,luwk⁴,*pə.rˤok,carve wood (Shuōwén),1208a,"20960,19",58,5,U+5F54
欒,栾,luán,luan2,luan,2,lwan,l-,-wan,ping,lwan¹,*[m]ə.rˤon,corners of the rim of an oval bell,0178d,"21324,15",75,19,U+6B12
鑾,銮,luán,luan2,luan,2,lwan,l-,-wan,ping,lwan¹,*[m]ə.rˤon,harness bells,0178f,"64277,01",167,19,U+947E
欒,栾,luán,luan2,luan,2,lwan,l-,-wan,ping,lwan¹,*[r]ˤo[n],"emaciated, worn",0178d,"21324,15",75,19,U+6B12
鸞,鸾,luán,luan2,luan,2,lwan,l-,-wan,ping,lwan¹,*[r]ˤon,phoenix,0178h,"74672,12",196,19,U+9E1E
䜌,䜌,luán,luan2,luan,2,lwan,l-,-wan,ping,lwan¹,*mə.rˤo[n],harness bells,0178a,"53461,08",149,12,U+470C
孿,孪,luán,luan2,luan,2,srjwenH,sr-,-jwen,qu,ʂjen³,*[s.r]on-s,twins,0178q,"21020,13",39,19,U+5B7F
孿,孪,luán,luan2,luan,2,srwaenH,sr-,-waen,qu,ʂwæn³,*[s.r]on-s,twins,0178q,"21020,13",39,19,U+5B7F
卵,卵,luǎn,luan3,luan,3,lwaX,l-,-wa,shang,lwa²,*k.rˤorʔ (dialect: *-r > *-j),egg,0179a,"10313,04",26,5,U+5375
卵,卵,luǎn,luan3,luan,3,lwanX,l-,-wan,shang,lwan²,*k.rˤorʔ,egg,0179a,"10313,04",26,5,U+5375
𤔔,𤔔,luàn,luan4,luan,4,lwanH,l-,-wan,qu,lwan³,*[r]ˤo[n]-s,"disorder, rebellion",0180a,"32036,01",87,8,U+24514
亂,乱,luàn,luan4,luan,4,lwanH,l-,-wan,qu,lwan³,*[r]ˤo[n]-s,"disorder, rebellion",0180c,"10057,1",5,12,U+4E82
論,论,lún,lun2,lun,2,lwin,l-,-win,ping,lwin¹,*[r]u[n],(in name of Lúnyǔ 論語),0470b,"63988,03",149,8,U+8AD6
倫,伦,lún,lun2,lun,2,lwin,l-,-win,ping,lwin¹,*[r]u[n],relationship; order; category,0470c,"10181,01",9,8,U+502B
輪,轮,lún,lun2,lun,2,lwin,l-,-win,ping,lwin¹,*[r]u[n],wheel,0470f,"53540,06",159,8,U+8F2A
綸,纶,lún,lun2,lun,2,lwin,l-,-win,ping,lwin¹,*k.ru[n],woof; twist a cord,0470e,"53416,1",120,8,U+7DB8
論,论,lún,lun2,lun,2,lwon,l-,-won,ping,lwon¹,*[r]ˤu[n],"discuss, examine",0470b,"63988,03",149,8,U+8AD6
論,论,lùn,lun1,lun,1,lwonH,l-,-won,qu,lwon³,*[r]ˤu[n]-s,"discussion, discourse",0470b,"63988,03",149,8,U+8AD6
捋,捋,luō,luo1,luo,1,lwat,l-,-wat,ru,lwat⁴,*[r]ˤot,"gather, pluck",0299e,"31885,05",64,7,U+634B
籮,箩,luó,luo2,luo,2,la,l-,-a,ping,la¹,*C.rˤaj (no pre-Qín exx.),"hamper, basket (n.)",0006-,"53034,12",118,19,U+7C6E
羅,罗,luó,luo2,luo,2,la,l-,-a,ping,la¹,*rˤaj,a kind of net (on a handle?) (Shuōwén: 'bird net'),0006a,"42928,05",122,14,U+7F85
腡,脶,luó,luo2,luo,2,lwa,l-,-wa,ping,lwa¹,*k.rˤoj (swa 螺  < lwa < *k.rˤoj ‘spiral’),fingerprint [not in GSR],0018-,"32088,06",130,9,U+8161
螺,螺,luó,luo2,luo,2,lwa,l-,-wa,ping,lwa¹,*k.rˤoj,"spiral, snail",0577-,"42885,05",142,11,U+87BA
倮,倮,luǒ,luo3,luo,3,lwaX,l-,-wa,shang,lwa²,*[r]ˤo[r]ʔ,"bare, naked",0351g,"10177,03",9,8,U+502E
裸,裸,luǒ,luo3,luo,3,lwaX,l-,-wa,shang,lwa²,*[r]ˤo[r]ʔ,"bare, naked",0351h,"53098,07",145,8,U+88F8
蠃,蠃,luǒ,luo3,luo,3,lwaX,l-,-wa,shang,lwa²,"*rˤorʔ (*kˤorʔ.rˤorʔ, redup. infixation < *kˤorʔ ?)",蜾蠃 kwaX.lwaX a kind of wasp,0014b,"32122,17",142,13,U+8803
臝,臝,luǒ,luo3,luo,3,lwaX,l-,-wa,shang,lwa²,"*rˤorʔ (*kˤorʔ.rˤorʔ, redup. infixed form from *kˤorʔ ‘fruit’ ?)",果臝 kwaX.lwaX a kind of gourd,0351i,"32127,02",130,17,U+81DD
駱,骆,luò,luo4,luo,4,lak,l-,-ak,ru,lak⁴,*[r]ˤak,white horse with black mane,0766s,"74554,2",187,6,U+99F1
落,落,luò,luo4,luo,4,lak,l-,-ak,ru,lak⁴,*kə.rˤak,fall (v.),0766q',"53255,08",140,9,U+843D
濼,泺,luò,luo4,luo,4,lowk,l-,-owk,ru,lowk⁴,*[r]ˤawk,(name of a river),1125g,"31779,01",85,15,U+6FFC
藘,藘,lǘ,lü2,lü,2,ljo,l-,-jo,ping,ljo¹,*[r]a,rúlǘ < nyo-ljo < *na.la 'madder (plant)',0069u,"53318,21",140,15,U+85D8
履,履,lǚ,lü3,lü,3,lijX,l-,-ij,shang,lij²,*[r]ijʔ,tread on; sandal,0562a,"20980,03",44,12,U+5C65
儢,儢,lǚ,lü3,lü,3,ljoX,l-,-jo,shang,ljo²,*[r]aʔ,sluggish; unenergetic,0069t,"10233,08",9,15,U+5122
呂,吕,lǚ,lü3,lü,3,ljoX,l-,-jo,shang,ljo²,*[r]aʔ,spine; pitch-pipe,0076a,"10577,12",30,4,U+5442
旅,旅,lǚ,lü3,lü,3,ljoX,l-,-jo,shang,ljo²,*[r]aʔ,military unit of 500 men; to go,0077a,"32178,07",70,6,U+65C5
縷,缕,lǚ,lü3,lü,3,ljuX,l-,-ju,shang,lju²,*[r]oʔ,thread,0123h,"53442,12",120,11,U+7E37
屢,屡,lǚ,lü3,lü,3,ljuH,l-,-ju,qu,lju³,*[r]o(ʔ)-s,frequently,0123f,"20979,14",44,11,U+5C62
慮,虑,lǜ,lü4,lü,4,ljoH,l-,-jo,qu,ljo³,*[r]a-s,"think, consider",0069f,"42342,02",61,11,U+616E
綠,绿,lǜ,lü4,lü,4,ljowk,l-,-jowk,ru,ljowk⁴,*pə.rok,light blue or green,1208k,"53422,021",120,8,U+7DA0
率,率,lǜ,lü4,lü,4,lwit,l-,-wit,ru,lwit⁴,*[r]ut,"norm, standard",0498a,"10289,03",95,6,U+7387
律,律,lǜ,lü4,lü,4,lwit,l-,-wit,ru,lwit⁴,*[r]ut,"law, rule (n.)",0502c,"20821,01",60,6,U+5F8B
律,律,lǜ,lü4,lü,4,lwit,l-,-wit,ru,lwit⁴,*[r]ut,不律 writing brush (pron. in Wú 吳 ap. Shuōwén; E. Hàn),0502c,"20821,01",60,6,U+5F8B
略,略,lüè,lüe4,lüe,4,ljak,l-,-jak,ru,ljak⁴,*[r]ak,draw a boundary; outline,0766v,"42541,11",102,6,U+7565
麻,麻,má,ma2,ma,2,mae,m-,-ae,ping,mæ¹,*C.mˤraj,hemp,0017a,"74723,01",200,0,U+9EBB
馬,马,mǎ,ma3,ma,3,maeX,m-,-ae,shang,mæ²,*mˤraʔ,horse,0040a,"74539,01",187,0,U+99AC
罵,骂,mà,ma4,ma,4,maeH,m-,-ae,qu,mæ³,*C.mˤra-s,"scold, revile",0040h,"74547,08",122,10,U+7F75
埋,埋,mái,mai2,mai,2,meaj,m-,-eaj,ping,mɛj¹,*m.rˤə,bury,0978l,"10443,21",32,7,U+57CB
薶,薶,mái,mai2,mai,2,meaj,m-,-eaj,ping,mɛj¹,*m.rˤə,bury,0978m,"53314,1",140,14,U+85B6
霾,霾,mái,mai2,mai,2,meaj,m-,-eaj,ping,mɛj¹,*mˤrə,whirlwind,0978n,"64081,07",173,14,U+973E
買,买,mǎi,mai3,mai,3,meaX,m-,-ea,shang,mɛ²,*mˤrajʔ,buy,1240c,"63633,07",154,5,U+8CB7
邁,迈,mài,mai4,mai,4,maejH,m-,-aej,qu,mæj³,*mˤrat-s,"proceed, march",0267d,"63880,12",162,13,U+9081
賣,卖,mài,mai4,mai,4,meaH,m-,-ea,qu,mɛ³,*mˤrajʔ-s,sell,1240e,"63645,07",154,8,U+8CE3
脈,脉,mài,mai4,mai,4,meak,m-,-eak,ru,mɛk⁴,*C.mˤ<r>[i]k,vein,0848a,"32068,09",130,6,U+8108
脉,脉,mài,mai4,mai,4,meak,m-,-eak,ru,mɛk⁴,*C.mˤ<r>[i]k,vein,0848b,"32064,03",130,5,U+8109
麥,麦,mài,mai4,mai,4,meak,m-,-eak,ru,mɛk⁴,*m-rˤək (dialect: *m-rˤ > *mˤr-),wheat,0932a,"74600,01",199,0,U+9EA5
蠻,蛮,mán,man2,man,2,maen,m-,-aen,ping,mæn¹,*mˤro[n],southern foreigner,0178p,"42909,21",142,19,U+883B
瞞,瞒,mán,man2,man,2,man,m-,-an,ping,man¹,*mˤ[o][r],be deceived,0183d,"42509,07",109,11,U+779E
滿,满,mǎn,man3,man,3,manX,m-,-an,shang,man²,*mˤ[o][n]ʔ,full,0183c,"31714,01",85,11,U+6EFF
慢,慢,màn,man4,man,4,maenH,m-,-aen,qu,mæn³,*mˤra[n]-s,disrespectful,0266h,"42346,01",61,11,U+6162
曼,曼,màn,man4,man,4,manH,m-,-an,qu,man³,*mˤa[n]-s,distant,0266a,"10399,15",73,7,U+66FC
幔,幔,màn,man4,man,4,manH,m-,-an,qu,man³,*mˤa[n]-s,"curtain, tent",0266j,"10752,03",50,11,U+5E54
漫,漫,màn,man4,man,4,manH,m-,-an,qu,man³,*mˤa[n]-s,"wide, limitless",0266n,"31721,1",85,11,U+6F2B
曼,曼,màn,man4,man,4,mjonH,m-,-jon,qu,mjon³,*ma[n]-s,"extended, long",0266a,"10399,15",73,7,U+66FC
盲,盲,máng,mang2,mang,2,maeng,m-,-aeng,ping,mæŋ¹,*mˤ<r>aŋ,blind,0742q,"42469,19",109,3,U+76F2
龍,龙,máng,mang2,mang,2,maewng,m-,-aewng,ping,mæwŋ¹,*mˤroŋ,variegated,1193a,"74803,01",212,0,U+9F8D
尨,尨,máng,mang2,mang,2,maewng,m-,-aewng,ping,mæwŋ¹,*mˤroŋ,variegated,1201a,"10553,09",43,4,U+5C28
哤,哤,máng,mang2,mang,2,maewng,m-,-aewng,ping,mæwŋ¹,*mˤroŋ,"mixed, disorderly",1201c,"10627,12",30,7,U+54E4
駹,駹,máng,mang2,mang,2,maewng,m-,-aewng,ping,mæwŋ¹,*mˤroŋ,variegated animal,1201d,"74557,03",187,7,U+99F9
厖,厖,máng,mang2,mang,2,maewng,m-,-aewng,ping,mæwŋ¹,*mˤroŋ,"great, ample",1201e,"10072,01",27,7,U+5396
芒,芒,máng,mang2,mang,2,mang,m-,-ang,ping,maŋ¹,*mˤaŋ,"awn, beard of grain",0742k,"53176,03",140,3,U+8292
忙,忙,máng,mang2,mang,2,mang,m-,-ang,ping,maŋ¹,*mˤaŋ,flurried,0742o,"42272,16",61,3,U+5FD9
鋩,鋩,máng,mang2,mang,2,mjang,m-,-jang,ping,mjaŋ¹,*maŋ,sharp point of weapon,0742c',"64194,06",167,7,U+92E9
貓,猫,māo,mao1,mao,1,maew,m-,-aew,ping,mæw¹,*C.mˤraw,cat,1159c,"63914,04",153,9,U+8C93
茅,茅,máo,mao2,mao,2,maew,m-,-aew,ping,mæw¹,*C.mˤru,kind of grass; 'thatch',1109c,"53199,01",140,5,U+8305
毛,毛,máo,mao2,mao,2,maw,m-,-aw,ping,maw¹,*C.mˤaw,hair,1137a,"31994,01",82,0,U+6BDB
旄,旄,máo,mao2,mao,2,maw,m-,-aw,ping,maw¹,*mˤaw,ox-tail pennon,1137c,"32177,06",70,6,U+65C4
矛,矛,máo,mao2,mao,2,mjuw,m-,-juw,ping,mjuw¹,*m(r)u,a kind of lance,1109a,"42764,01",110,0,U+77DB
卯,卯,mǎo,mao3,mao,3,maewX,m-,-aew,shang,mæw²,*mˤruʔ,4th earthly branch,1114a,"10311,05",26,3,U+536F
茆,茆,mǎo,mao3,mao,3,maewX,m-,-aew,shang,mæw²,*mˤruʔ,Brasenia,1114f,"53195,02",140,5,U+8306
昴,昴,mǎo,mao3,mao,3,maewX,m-,-aew,shang,mæw²,*mˤruʔ,the Pleiades,1114g,"21503,02",72,5,U+6634
貌,貌,mào,mao4,mao,4,maewH,m-,-aew,qu,mæw³,*mˤrawk-s,"appearance, manner",1171b,"63913,04",153,7,U+8C8C
瞀,瞀,mào,mao4,mao,4,maewk,m-,-aewk,ru,mæwk⁴,*mˤ<r>uk,troubled eyesight,1109q,"42504,03",109,9,U+7780
芼,芼,mào,mao4,mao,4,mawH,m-,-aw,qu,maw³,*mˤaw(k)-s,cull and cook,1137g,"53181,02",140,4,U+82BC
帽,帽,mào,mao4,mao,4,mawH,m-,-aw,qu,maw³,*mˤuk-s,hat,1062-,"10747,08",50,9,U+5E3D
冒,冒,mào,mao4,mao,4,mawH,m-,-aw,qu,maw³,*mˤuk-s,to look down on; covetous,1062a,"21499,12",13,7,U+5192
冒,冒,mào,mao4,mao,4,mawH,m-,-aw,qu,maw³,*mˤuk-s,covering,1062a,"21499,12",13,7,U+5192
媢,媢,mào,mao4,mao,4,mawH,m-,-aw,qu,maw³,*mˤuk-s,jealous,1062c,"21065,03",38,9,U+5AA2
貿,贸,mào,mao4,mao,4,muwH,m-,-uw,qu,muw³,*mru-s,barter (v.),1114j,"63634,1",154,5,U+8CBF
眉,眉,méi,mei2,mei,2,mij,m-,-ij,ping,mij¹,*mr[ə][r],eyebrow,0567a,"42478,03",109,4,U+7709
梅,梅,méi,mei2,mei,2,mwoj,m-,-woj,ping,mwoj¹,*C.mˤə,plum tree,0947l,"21215,13",75,7,U+6885
媒,媒,méi,mei2,mei,2,mwoj,m-,-woj,ping,mwoj¹,*C.mˤə,"match-maker, go-between",0948c,"21063,13",38,9,U+5A92
煤,煤,méi,mei2,mei,2,mwoj,m-,-woj,ping,mwoj¹,*mˤə,soot; coal,0948d,"32214,02",86,9,U+7164
枚,枚,méi,mei2,mei,2,mwoj,m-,-woj,ping,mwoj¹,*mˤəj,"stem, branch",0546a,"21171,01",75,4,U+679A
美,美,měi,mei3,mei,3,mijX,m-,-ij,shang,mij²,*[m]rəjʔ,beautiful,0568a,"53126,05",123,3,U+7F8E
浼,浼,měi,mei3,mei,3,mwojX,m-,-woj,shang,mwoj²,*mˤ[u]rʔ,defile (v.),0222l,"31631,02",85,7,U+6D7C
浼,浼,měi,mei3,mei,3,mwojX,m-,-woj,shang,mwoj²,*mˤərʔ,smoothly flowing water,0222l,"31631,02",85,7,U+6D7C
每,每,měi,mei3,mei,3,mwojX,m-,-woj,shang,mwoj²,*mˤəʔ,each,0947i,"42381,02",80,3,U+6BCF
袂,袂,mèi,mei4,mei,4,kwet,k-,-wet,ru,kwet⁴,*k.mˤet (dialect: *k.m- > MC kw-),sleeve,0312d,"53080,02",145,4,U+8882
𩎟,𩎟,mèi,mei4,mei,4,meajH,m-,-eaj,qu,mɛj³,*mˤr[ə][t]-s,music of eastern barbarians,0531q,"74504,03",178,5,U+2939F
魅,魅,mèi,mei4,mei,4,mijH,m-,-ij,qu,mij³,*mr[ə][t]-s,魑魅 trhje.mijH a kind of demon,0531h,"74430,01",194,5,U+9B45
媚,媚,mèi,mei4,mei,4,mijH,m-,-ij,qu,mij³,*mrəjʔ-s,love; flatter,0567d,"21069,15",38,9,U+5A9A
袂,袂,mèi,mei4,mei,4,mjiejH,m-,-jiej,qu,mjiej³,*k.met-s,sleeve,0312d,"53080,02",145,4,U+8882
寐,寐,mèi,mei4,mei,4,mjijH,m-,-jij,qu,mjij³,*mi[t]-s,sleep,0531i,"20944,12",40,9,U+5BD0
妹,妹,mèi,mei4,mei,4,mwojH,m-,-woj,qu,mwoj³,*C.mˤə[t]-s,younger sister,0531k,"21034,06",38,5,U+59B9
昧,昧,mèi,mei4,mei,4,mwojH,m-,-woj,qu,mwoj³,*mˤ[u][t]-s,dusk; dark,0531n,"21497,01",72,5,U+6627
捫,扪,mén,men2,men,2,mwon,m-,-won,ping,mwon¹,*[m]ˤ[ə][n],hold (v.),0441e,"31908,03",64,8,U+636B
璊,璊,mén,men2,men,2,mwon,m-,-won,ping,mwon¹,*mˤur,red gem,0183f,"21134,04",96,11,U+748A
穈,穈,mén,men2,men,2,mwon,m-,-won,ping,mwon¹,*mˤur,red millet,0442a,"42630,02",115,11,U+7A48
汶,汶,mén,men2,men,2,mwon,m-,-won,ping,mwon¹,*mˤə[n],dirty,0475i,"31572,01",85,4,U+6C76
門,门,mén,men2,men,2,mwon,m-,-won,ping,mwon¹,*mˤə[r],"gate, door",0441a,"74281,01",169,0,U+9580
亹,亹,mén,men2,men,2,mwon,m-,-won,ping,mwon¹,*mˤər,river-gorge,0585a,"10294,12",8,19,U+4EB9
懣,懑,mèn,men4,men,4,manX,m-,-an,shang,man²,*mˤ[o][n]ʔ,grieved,0183g,"42363,18",61,14,U+61E3
䖟,䖟,méng,meng2,meng,2,maeng,m-,-aeng,ping,mæŋ¹,*mˤraŋ,horsefly,0742s,"42835,13",142,3,U+459F
氓,氓,méng,meng2,meng,2,meang,m-,-eang,ping,mɛŋ¹,*mˤr[i]ŋ,"population, people",0742u,"32131,03",83,4,U+6C13
盟,盟,méng,meng2,meng,2,mjaeng,m-,-jaeng,ping,mjæŋ¹,*mraŋ,covenant,0760e,"42565,07",108,8,U+76DF
蒙,蒙,méng,meng2,meng,2,muwng,m-,-uwng,ping,muwŋ¹,*mˤoŋ,cover (v.),1181a,"53271,04",140,10,U+8499
黽,黾,měng,meng3,meng,3,meangX,m-,-eang,shang,mɛŋ²,*mˤrəŋʔ,toad,1252d,"74768,01",205,0,U+9EFD
孟,孟,mèng,meng4,meng,4,maengH,m-,-aeng,qu,mæŋ³,*mˤraŋ-s,"eldest, great",0761e,"21013,03",39,5,U+5B5F
夢,梦,mèng,meng4,meng,4,mjuwngH,m-,-juwng,qu,mjuwŋ³,*C.məŋ-s,dream,0902a,"20864,19",36,11,U+5922
麛,麛,mí,mi2,mi,2,mej,m-,-ej,ping,mej¹,*m-ŋˤe,fawn; to hunt a young animal,0360e,"74734,18",198,9,U+9E9B
迷,迷,mí,mi2,mi,2,mej,m-,-ej,ping,mej¹,*mˤij,go astray,0598e,"63832,07",162,6,U+8FF7
麋,麋,mí,mi2,mi,2,mij,m-,-ij,ping,mij¹,*mr[i]j,kind of deer,0598f,"74730,18",198,6,U+9E8B
糜,糜,mí,mi2,mi,2,mje,m-,-je,ping,mje¹,*C.m(r)aj,"rice gruel; destroy, crush",0017g,"53159,05",119,11,U+7CDC
靡,靡,mí,mi2,mi,2,mje,m-,-je,ping,mje¹,*m(r)aj,to share with,0017h,"64088,05",175,11,U+9761
彌,弥,mí,mi2,mi,2,mjie,m-,-jie,ping,mjie¹,*m-nə[r],to complete,0359m,"21004,03",57,14,U+5F4C
瀰,瀰,mí,mi2,mi,2,mjie,m-,-jie,ping,mjie¹,*m.ner,richly flowing stream,0359o,"31791,03",85,17,U+7030
冞,冞,mí,mi2,mi,2,mjie,m-,-jie,ping,mjie¹,*m.ner,extensively,0598k,"10303,17",14,6,U+519E
𦊮,𦊮,mí,mi2,mi,2,mjie,m-,-jie,ping,mjie¹,*m.ner,extensively,0598l,"42917,1",122,6,U+262AE
彌,弥,mí,mi2,mi,2,mjieX,m-,-jie,shang,mjie²,*m-nə[r]ʔ,stop,0359m,"21004,03",57,14,U+5F4C
米,米,mǐ,mi3,mi,3,mejX,m-,-ej,shang,mej²,*(C.)mˤ[e]jʔ,"millet or rice grains, dehusked and polished",0598a,"53141,01",119,0,U+7C73
瀰,瀰,mǐ,mi3,mi,3,mejX,m-,-ej,shang,mej²,*m.nˤerʔ,a rich and full flow (of a river),0359o,"31791,03",85,17,U+7030
靡,靡,mǐ,mi3,mi,3,mjeX,m-,-je,shang,mje²,*m(r)ajʔ,squander,0017h,"64088,05",175,11,U+9761
靡,靡,mǐ,mi3,mi,3,mjeX,m-,-je,shang,mje²,*m(r)ajʔ,"not have, not exist",0017h,"64088,05",175,11,U+9761
靡,靡,mǐ,mi3,mi,3,mjeX,m-,-je,shang,mje²,*m(r)ajʔ,fall over,0017h,"64088,05",175,11,U+9761
靡,靡,mǐ,mi3,mi,3,mjeX,m-,-je,shang,mje²,*m(r)ajʔ,"small, tiny",0017h,"64088,05",175,11,U+9761
弭,弭,mǐ,mi3,mi,3,mjieX,m-,-jie,shang,mjie²,*[m-ŋ]e(j)ʔ,bow decorated with bone or ivory ends,0360a,"20995,03",57,6,U+5F2D
瀰,瀰,mǐ,mi3,mi,3,mjieX,m-,-jie,shang,mjie²,*m.nerʔ,richly flowing stream,0359o,"31791,03",85,17,U+7030
敉,敉,mǐ,mi3,mi,3,mjieX,m-,-jie,shang,mjie²,*me[j]ʔ,achieve,0598h,"21458,03",66,6,U+6549
汨,汨,mì,mi4,mi,4,mek,m-,-ek,ru,mek⁴,*m.nˤik,(name of a river),0404-,"31564,02",85,4,U+6C68
冪,幂,mì,mi4,mi,4,mek,m-,-ek,ru,mek⁴,*mˤ[e]k,cover,0802s,"10306,05",14,14,U+51AA
幦,幦,mì,mi4,mi,4,mek,m-,-ek,ru,mek⁴,*mˤ[e]k,covering,0853o,"10756,14",50,13,U+5E66
簚,簚,mì,mi4,mi,4,mek,m-,-ek,ru,mek⁴,*mˤ[e]k,cover (n.),1260e,"53015,12",118,12,U+7C1A
密,密,mì,mi4,mi,4,mit,m-,-it,ru,mit⁴,*mri[t],dense,0405p,"20940,06",40,8,U+5BC6
𥁑,𥁑,mì,mi4,mi,4,mjit,m-,-jit,ru,mjit⁴,*mi[t],wipe a vessel clean (Shuōwén),0405s,"42561,03",108,5,U+25051
謐,谧,mì,mi4,mi,4,mjit,m-,-jit,ru,mjit⁴,*mi[t],"gentle, mild",0405t,"64010,03",149,10,U+8B10
蜜,蜜,mì,mi4,mi,4,mjit,m-,-jit,ru,mjit⁴,*mit,honey,0405r,"42866,07",142,8,U+871C
眠,眠,mián,mian2,mian,2,men,m-,-en,ping,men¹,*mˤi[n],shut the eyes; sleep,0457e,"42483,03",109,5,U+7720
宀,宀,mián,mian2,mian,2,mjien,m-,-jien,ping,mjien¹,*me[ŋ] (no pre-Qín exx.),"house, building",--,"20909,13",40,0,U+5B80
眄,眄,miǎn,mian3,mian,3,menX,m-,-en,shang,men²,*mˤe[n]ʔ,look askance,0247b,"42472,04",109,4,U+7704
俛,俛,miǎn,mian3,mian,3,mjenX,m-,-jen,shang,mjen²,*mr[a][n]ʔ,bend the head,0222b,"10164,05",9,7,U+4FDB
免,免,miǎn,mian3,mian,3,mjenX,m-,-jen,shang,mjen²,*mr[o][r]ʔ,avoid,0222a,"10270,09",10,5,U+514D
勉,勉,miǎn,mian3,mian,3,mjenX,m-,-jen,shang,mjen²,*mr[o][r]ʔ,make an effort,0222c,"10372,03",19,7,U+52C9
冕,冕,miǎn,mian3,mian,3,mjenX,m-,-jen,shang,mjen²,*mr[o][r]ʔ,ceremonial cap,0222d,"21514,06",13,9,U+5195
沔,沔,miǎn,mian3,mian,3,mjienX,m-,-jien,shang,mjien²,*m.nerʔ,richly flowing stream,0247c,"31560,02",85,4,U+6C94
湎,湎,miǎn,mian3,mian,3,mjienX,m-,-jien,shang,mjien²,*menʔ,sink in (wine),0223c,"31672,03",85,9,U+6E4E
面,面,miàn,mian4,mian,4,mjienH,m-,-jien,qu,mjien³,*C.me[n]-s,face,0223a,"74398,01",176,0,U+9762
苗,苗,miáo,miao2,miao,2,mjew,m-,-jew,ping,mjew¹,*m(r)aw,sprout (n.),1159a,"53191,02",140,5,U+82D7
邈,邈,miǎo,miao3,miao,3,maewk,m-,-aewk,ru,mæwk⁴,*mˤrawk,distant,1171d,"63892,13",162,14,U+9088
眇,眇,miǎo,miao3,miao,3,mjiewX,m-,-jiew,shang,mjiew²,*[m]ewʔ,"very small, minute",1158a,"42472,15",109,4,U+7707
杪,杪,miǎo,miao3,miao,3,mjiewX,m-,-jiew,shang,mjiew²,*[m]ewʔ,the utmost end,1158c,"21168,09",75,4,U+676A
渺,渺,miǎo,miao3,miao,3,mjiewX,m-,-jiew,shang,mjiew²,*[m]ewʔ,vast (of water),1158e,"31673,12",85,9,U+6E3A
廟,庙,miào,miao4,miao,4,mjewH,m-,-jew,qu,mjew³,*[m]raw-s,a kind of building with side rooms,1160a,"20901,02",53,12,U+5EDF
妙,妙,miào,miao4,miao,4,mjiewH,m-,-jiew,qu,mjiew³,*[m]ew(ʔ)-s,marvelous,1158b,"21030,1",38,4,U+5999
幭,幭,miè,mie4,mie,4,met,m-,-et,ru,met⁴,*mˤ[e]k,covering,0311f,"10757,03",50,15,U+5E6D
蔑,蔑,miè,mie4,mie,4,met,m-,-et,ru,met⁴,*mˤet,destroy; not have,0311a,"53279,08",140,11,U+8511
滅,灭,miè,mie4,mie,4,mjiet,m-,-jiet,ru,mjiet⁴,*[m]et,destroy,0294b,"31696,09",85,10,U+6EC5
緡,缗,mín,min2,min,2,min,m-,-in,ping,min¹,*m-ru[n] (dialect: *m-r- > *mr-),wrap around,0457x,"53432,03",120,9,U+7DE1
緡,缗,mín,min2,min,2,min,m-,-in,ping,min¹,*m-run (dialect: *m-r- > *mr-),cord,0457x,"53432,03",120,9,U+7DE1
珉,珉,mín,min2,min,2,min,m-,-in,ping,min¹,*mr[ə][n],a kind of precious stone,0457d,"21108,12",96,5,U+73C9
旻,旻,mín,min2,min,2,min,m-,-in,ping,min¹,*mrə[n],"austere, severe",0475n,"21495,06",72,4,U+65FB
民,民,mín,min2,min,2,mjin,m-,-jin,ping,mjin¹,*mi[ŋ],people,0457a,"32131,01",83,1,U+6C11
閩,闽,mǐn,min3,min,3,min,m-,-in,ping,min¹,*mrə[n],southern tribes,0441i,"74295,09",169,6,U+95A9
閔,闵,mǐn,min3,min,3,minX,m-,-in,shang,min²,*mrə[n]ʔ,grieved,0475q,"74290,02",169,4,U+9594
憫,悯,mǐn,min3,min,3,minX,m-,-in,shang,min²,*mrə[n]ʔ,grieved,0475s,"42357,04",61,12,U+61AB
敏,敏,mǐn,min3,min,3,minX,m-,-in,shang,min²,*mrə[n]ʔ (~ *mrəʔ),"diligent, active",1251q,"21463,01",66,7,U+654F
皿,皿,mǐn,min3,min,3,mjaengX,m-,-jaeng,shang,mjæŋ²,*mraŋʔ,"vessel, bowl",0761a,"42557,01",108,0,U+76BF
泯,泯,mǐn,min3,min,3,mjin,m-,-jin,ping,mjin¹,*mi[n],destroy,0457c,"31596,03",85,5,U+6CEF
